File,Result,Time
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1029.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_103.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1030.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1031.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1032.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1033.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1034.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1035.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1036.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1037.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1038.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1039.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_104.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1040.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1041.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1042.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1043.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1044.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1045.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1046.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1047.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1048.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1049.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_105.smt2,unsat,0.01
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1050.smt2,unsat,0.01
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1051.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1052.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1053.smt2,unsat,0.01
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1054.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1055.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1056.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1057.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1058.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1059.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_106.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1060.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1061.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1062.smt2,sat,0.02
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1063.smt2,unsat,0.01
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1064.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1065.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1066.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1067.smt2,unsat,0.01
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1068.smt2,unsat,0.01
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1069.smt2,unsat,0.01
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_107.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1070.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1071.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1072.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1073.smt2,unsat,0.02
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1074.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1075.smt2,unsat,0.02
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1076.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1077.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1078.smt2,unsat,0.01
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1079.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_108.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1080.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1081.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1082.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1083.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1084.smt2,unsat,0.00
/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1085.smt2,unsat,0.02
